input,output
"Count the number of users in the system by company","companies = self.env['res.company'].search([])\ncompany_user_counts = {company.name: self.env['res.users'].search_count([('company_id', '=', company.id)]) for company in companies}"
"Find all sales orders with more than 5 order lines","orders_with_many_lines = self.env['sale.order'].search([])\norders_with_many_lines = orders_with_many_lines.filtered(lambda o: len(o.order_line) > 5)"
"Get a count of products by category","categories = self.env['product.category'].search([])\ncategory_counts = {category.name: self.env['product.product'].search_count([('categ_id', '=', category.id)]) for category in categories}"
"Archive all contacts that have no activity for the last year","from datetime import datetime, timedelta\none_year_ago = datetime.now() - timedelta(days=365)\ninactive_contacts = self.env['res.partner'].search([('activity_ids', '=', False), ('message_ids.date', '<', one_year_ago.strftime('%Y-%m-%d'))])\ninactive_contacts.write({'active': False})"
"Find customers with overdue invoices greater than $1000","overdue_customers = self.env['res.partner'].search([('invoice_ids.invoice_date_due', '<', fields.Date.today()), ('invoice_ids.amount_residual', '>', 1000), ('invoice_ids.state', '=', 'posted'), ('invoice_ids.payment_state', '!=', 'paid')])"
"Create a delivery order for a sales order","sale_order = self.env['sale.order'].browse(self.env.context.get('active_id'))\nif sale_order.state == 'sale':\n    picking = sale_order.picking_ids.filtered(lambda p: p.state not in ['done', 'cancel'])\n    if picking:\n        picking.action_assign()"
"Find the average time it takes to confirm sales orders","from datetime import datetime\nconfirmed_orders = self.env['sale.order'].search([('state', 'in', ['sale', 'done']), ('date_order', '!=', False), ('confirmation_date', '!=', False)])\ntotal_hours = 0\nfor order in confirmed_orders:\n    delta = fields.Datetime.from_string(order.confirmation_date) - fields.Datetime.from_string(order.date_order)\n    total_hours += delta.total_seconds() / 3600\navg_hours = total_hours / len(confirmed_orders) if confirmed_orders else 0"
"Calculate the profit margin on all products","products = self.env['product.product'].search([('standard_price', '>', 0), ('list_price', '>', 0)])\nfor product in products:\n    margin = (product.list_price - product.standard_price) / product.list_price * 100"
"List all products without a barcode","products_without_barcode = self.env['product.product'].search([('barcode', '=', False), ('active', '=', True)])"
"Find all purchase orders created this week","from datetime import datetime, timedelta\ntoday = datetime.now()\nstart_of_week = today - timedelta(days=today.weekday())\nend_of_week = start_of_week + timedelta(days=6)\nthis_week_pos = self.env['purchase.order'].search([('date_order', '>=', start_of_week.strftime('%Y-%m-%d')), ('date_order', '<=', end_of_week.strftime('%Y-%m-%d'))])"
"Assign a sales team to a customer","customer = self.env['res.partner'].browse(self.env.context.get('active_id'))\nsales_team = self.env['crm.team'].search([('name', '=', 'Europe')], limit=1)\ncustomer.write({'team_id': sales_team.id})"
"Find all invoices with payment terms of 30 days or more","long_term_invoices = self.env['account.move'].search([('invoice_payment_term_id.line_ids.days', '>=', 30)])"
"Calculate the age of inventory for all products","from datetime import datetime\nproducts = self.env['product.product'].search([('qty_available', '>', 0)])\ntoday = datetime.now()\nfor product in products:\n    last_move = self.env['stock.move'].search([('product_id', '=', product.id), ('state', '=', 'done')], order='date desc', limit=1)\n    if last_move:\n        delta = today - fields.Datetime.from_string(last_move.date)\n        product_age = delta.days"
"Schedule a stock inventory check for all products","self.env['stock.inventory'].create({'name': 'Annual Inventory Check ' + fields.Date.today().strftime('%Y-%m-%d'), 'location_ids': [(4, self.env.ref('stock.stock_location_stock').id)], 'start_empty': False})"
"Get a list of all sales by country","countries = self.env['res.country'].search([])\nsales_by_country = {}\nfor country in countries:\n    country_sales = self.env['sale.order'].search_count([('partner_id.country_id', '=', country.id), ('state', 'in', ['sale', 'done'])])\n    sales_by_country[country.name] = country_sales"
"Find all products that are both purchasable and sellable","dual_purpose_products = self.env['product.product'].search([('sale_ok', '=', True), ('purchase_ok', '=', True)])"
"Calculate the total tax amount collected this quarter","from datetime import datetime\ntoday = datetime.now()\nquarter_start_month = ((today.month - 1) // 3) * 3 + 1\nquarter_start = datetime(today.year, quarter_start_month, 1)\nquarter_invoices = self.env['account.move'].search([('invoice_date', '>=', quarter_start.strftime('%Y-%m-%d')), ('state', '=', 'posted'), ('move_type', 'in', ['out_invoice', 'out_refund'])])\ntotal_tax = sum(invoice.amount_tax for invoice in quarter_invoices)"
"Get a count of ongoing manufacturing orders by product","manufacturing_orders = self.env['mrp.production'].search([('state', 'not in', ['done', 'cancel'])])\nproduct_counts = {}\nfor mo in manufacturing_orders:\n    if mo.product_id in product_counts:\n        product_counts[mo.product_id] += 1\n    else:\n        product_counts[mo.product_id] = 1"
"Update the cost price of a product based on its latest purchase price","product = self.env['product.product'].browse(self.env.context.get('active_id'))\nlatest_purchase = self.env['purchase.order.line'].search([('product_id', '=', product.id), ('state', 'in', ['purchase', 'done'])], order='date_planned desc', limit=1)\nif latest_purchase:\n    product.write({'standard_price': latest_purchase.price_unit})"
"Find all sales orders that have not been invoiced yet","uninvoiced_orders = self.env['sale.order'].search([('state', '=', 'sale'), ('invoice_status', '=', 'to invoice')])"
"Get a list of customers who have purchased a specific product","product_id = self.env.context.get('active_id')\nproduct_customers = self.env['sale.order.line'].search([('product_id', '=', product_id), ('state', 'in', ['sale', 'done'])]).mapped('order_id.partner_id')"
"Count open helpdesk tickets by priority","priorities = dict(self.env['helpdesk.ticket']._fields['priority'].selection)\nticket_counts = {priority_name: self.env['helpdesk.ticket'].search_count([('stage_id.is_close', '=', False), ('priority', '=', priority_code)]) for priority_code, priority_name in priorities.items()}"
"Send an inventory report by email to the warehouse manager","inventory_report = self.env.ref('stock.action_report_inventory')\nwarehouse_manager = self.env['res.users'].search([('groups_id', '=', self.env.ref('stock.group_stock_manager').id)], limit=1)\nif warehouse_manager and warehouse_manager.partner_id and warehouse_manager.partner_id.email:\n    inventory_report.send_report_email(warehouse_manager.partner_id)"
